title,channelTitle,viewCount,publishedAt,videoUrl,videoId,category
BUILDING MY OWN CAR IN DESERT,Techno Gamerz Techno Gamerz,2.1M views,12 hours ago,https://www.youtube.com/watch?v=8fkIXWhFi6U,8fkIXWhFi6U,nan
RJ Saurabh || Make Joke Of || MJO || Saurabh Shukla,Make Joke Of Make Joke Of,1.1M views,1 day ago,https://www.youtube.com/watch?v=pZjcskYdO3M,pZjcskYdO3M,nan
GENDER REVEAL VLOG 😍,Mr & Mrs Choudhary Mr & Mrs Choudhary,1.1M views,11 hours ago,https://www.youtube.com/watch?v=Ud6o69YjK4g,Ud6o69YjK4g,nan
LAAL PARI (Song): Yo Yo Honey Singh | Sajid Nadiadwala | Tarun Mansukhani | Housefull 5 - 6th June,T-Series T-Series,37M views,4 days ago,https://www.youtube.com/watch?v=KGn-erOG-Bs,KGn-erOG-Bs,nan
I Fulfilled 7 Wishes of 7 Families😍,Fukra Insaan Fukra Insaan,3.4M views,3 days ago,https://www.youtube.com/watch?v=z04v92D81XI,z04v92D81XI,nan
Squid Game: Season 3 | Official Teaser | Netflix,Netflix Netflix Verified,9.3M views,1 day ago,https://www.youtube.com/watch?v=Lb6v6AUFWrM,Lb6v6AUFWrM,nan
NEET 2025 - LIVE PAPER DISCUSSION🔥,Competition Wallah Competition Wallah Verified,3M views,Streamed 2 days ago,https://www.youtube.com/watch?v=nXPX15FPfsE,nXPX15FPfsE,nan
Saying YES to Ruchika for 24 HOURS,Triggered Insaan Triggered Insaan Verified,6.9M views,4 days ago,https://www.youtube.com/watch?v=bI3_3PX6PjQ,bI3_3PX6PjQ,nan
NEET 2025 PAPER TOUGH - Life Barbad? Family Pressure? Depression? || Let's Talk,Physics Wallah - Alakh Pandey Physics Wallah - Alakh Pandey Verified,2M views,Streamed 2 days ago,https://www.youtube.com/watch?v=sqdwl8nfUXA,sqdwl8nfUXA,nan
I Cheated in a TUNG TUNG SAHUR MOB BATTLE in Minecraft!!,Mc flame Mc flame Verified,566K views,2 days ago,https://www.youtube.com/watch?v=FtJ2thF-6kk,FtJ2thF-6kk,nan
शाम है धुआं धुआं Shaam Hai Dhuan Dhuan | Khesari Lal Yadav New Bhojpuri Song 2025 | T-Series,T-Series Hamaar Bhojpuri T-Series Hamaar Bhojpuri Verified,11M views,4 days ago,https://www.youtube.com/watch?v=BOlL5T2cbb8,BOlL5T2cbb8,nan
Bhool Chuk Maaf | Bonus Trailer | Rajkummar R | Wamiqa G | Dinesh V | Karan S | 9th May 2025,Maddock Films Maddock Films Verified,3.5M views,2 days ago,https://www.youtube.com/watch?v=8XuRLVBaKus,8XuRLVBaKus,nan
Mere Room Mein 2 Bed 😲 Kyu Laga Diye ?,Sourav Joshi Vlogs Sourav Joshi Vlogs Verified,2.8M views,14 hours ago,https://www.youtube.com/watch?v=q2Mxvk3JxoQ,q2Mxvk3JxoQ,nan
BroCode Roast Ft. @raviguptacomedy | S2. Ep1,Aashish Solanki Aashish Solanki Verified,5.5M views,4 days ago,https://www.youtube.com/watch?v=9dX4h77PQV8,9dX4h77PQV8,nan
I CREATED A TIME MACHINE IN MINECRAFT!,ProBoiz 95 ProBoiz 95 Verified,2.1M views,3 days ago,https://www.youtube.com/watch?v=haSjLEoSlzM,haSjLEoSlzM,nan
"पटना हॉस्टल इन पुणे - रातों-रात वायरल | EP5 ft. Abhinav Anand, Anandeshwar Dwivedi | TSP",The Screen Patti The Screen Patti Verified,219K views,1 day ago,https://www.youtube.com/watch?v=BSk6ezwfl-0,BSk6ezwfl-0,nan
"Panchayat Season 4 - Official Teaser | Jitendra Kumar, Neena Gupta, Raghubir Yadav | Prime Video IN",Prime Video India Prime Video India Verified,4.7M views,4 days ago,https://www.youtube.com/watch?v=URBN7HNf7T4,URBN7HNf7T4,nan
#शादी के मंडप में दुल्हन ने क्यों पी शराब #आगे फिर क्या हुआ आप देखकर हैरान हो जायेंगे,Aim Entertainment Aim Entertainment Verified,108K views,2 days ago,https://www.youtube.com/watch?v=HrWiv4nW6pw,HrWiv4nW6pw,nan
Rishta Pakka Samjhe? | Take A Break,Take A Break Take A Break Verified,1.5M views,3 days ago,https://www.youtube.com/watch?v=UadmjNq-ipU,UadmjNq-ipU,nan
Reacting to Our Old *POPULAR* Videos | Hungry Birds Reaction,Hungry Birds Inside Hungry Birds Inside,293K views,1 day ago,https://www.youtube.com/watch?v=qVjIWZHhZq0,qVjIWZHhZq0,nan
NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4390 | 6 May 2025 | Teaser,Sony SAB Sony SAB Verified,1.9M views,1 day ago,https://www.youtube.com/watch?v=PVezQvsfySQ,PVezQvsfySQ,nan
Sara’s 12th Board Result is out 🫢 | Gharwalo ka Reaction,Saba Ibrahim Saba Ibrahim Verified,1.4M views,1 day ago,https://www.youtube.com/watch?v=LvPIx7Ziepo,LvPIx7Ziepo,nan
BUILDING A CAR IN REAL LIFE #2,TechShot TechShot Verified,2.7M views,4 days ago,https://www.youtube.com/watch?v=xnDbTcUUpLU,xnDbTcUUpLU,nan
NEW! Ep 4389 - Will the Gokuldham residents forgive Gogi?! | Tarak Mehta's Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah Taarak Mehta Ka Ooltah Chashmah Verified,2.7M views,2 days ago,https://www.youtube.com/watch?v=7zhkSVMA0a8,7zhkSVMA0a8,nan
"Main Nachdi | Saunkan Saunkanay 2 | Ammy Virk, Sargun M, Nimrat K, Jasmeen, Kaptaan, Desi Crew",Tips Punjabi Tips Punjabi Verified,2.8M views,1 day ago,https://www.youtube.com/watch?v=liSBnsXscf8,liSBnsXscf8,nan
Find The IPL CRICKETER | Sach Ya Scam | SlayyPop,SlayyPop SlayyPop Verified,1.3M views,3 days ago,https://www.youtube.com/watch?v=15SlIuXzd3g,15SlIuXzd3g,nan
Ye Bacha Cycle Pe Milne Aagya 😲 Akele,Sourav Joshi Vlogs Sourav Joshi Vlogs Verified,3.7M views,1 day ago,https://www.youtube.com/watch?v=Tah90ZGiU-0,Tah90ZGiU-0,nan
#COOLIE - 100 Days to Go | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Sun TV Sun TV Verified,2.4M views,1 day ago,https://www.youtube.com/watch?v=EptnMYijPjc,EptnMYijPjc,nan
"Yeh Rishta Kya Kehlata Hai: 😯 Ruhi को लगेगा झटका, Daksh का राज बदलेगा सबकी जिंदगी #hotnews",Saas Bahu aur Saazish Saas Bahu aur Saazish Verified,546K views,3 days ago,https://www.youtube.com/watch?v=PYnvCyzlUvQ,PYnvCyzlUvQ,nan
Kedara | Hansraj Raghuwanshi | Official Music Video | Kedarnath Baba,Hansraj Raghuwanshi Hansraj Raghuwanshi Official Artist Channel,395K views,2 days ago,https://www.youtube.com/watch?v=V8VKLgh0PbY,V8VKLgh0PbY,nan
HACKER LEVEL! SOLO VS SQUAD GAMEPLAY | GARENA FREE FIRE,Total Gaming Total Gaming Verified,2.4M views,4 days ago,https://www.youtube.com/watch?v=8iZ8XOUybIc,8iZ8XOUybIc,nan
The Final Look Of My Modified BMW 🔥,SOUL Regaltos SOUL Regaltos Verified,228K views,11 hours ago,https://www.youtube.com/watch?v=RXfMx9oWM9U,RXfMx9oWM9U,nan
"Delhi vs Hyderabad IPL 2025 Full Match Highlights, DC vs SRH IPL 2025 FULL HIGHLIGHTS",Sports Edge Cricket Sports Edge Cricket Verified,562K views,1 day ago,https://www.youtube.com/watch?v=v81cJzB51wA,v81cJzB51wA,nan
"Ting Ling Sajna | Bhool Chuk Maaf | Rajkummar Rao, Dhanashree | Tanishk, Irshad, Madhubanti Bagchi",Sony Music India Sony Music India Verified,7M views,1 day ago,https://www.youtube.com/watch?v=0gcJCYUJAYcqIYzv,0gcJCYUJAYcqIYzv,nan
NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4389 | 5 May 2025 | Teaser,Sony SAB Sony SAB Verified,2.1M views,2 days ago,https://www.youtube.com/watch?v=BiX7lrDIJy8,BiX7lrDIJy8,nan
ULTRA CALC BATCH | Zero Se शुरुआत | Special Announcement By Abhinay Sharma #abhinaysir,Abhinay Maths Abhinay Maths Verified,77K views,Streamed 1 day ago,https://www.youtube.com/watch?v=V3ZJ3LGtxa4,V3ZJ3LGtxa4,nan
My BMW Got a Crazy Makeover - New Wrap + Modifications 😱,SOUL Regaltos SOUL Regaltos Verified,368K views,1 day ago,https://www.youtube.com/watch?v=Y5mLs__MkwI,Y5mLs__MkwI,nan
Piyush ka New Bed Ban Gaya 😍,Sourav Joshi Vlogs Sourav Joshi Vlogs Verified,3.8M views,2 days ago,https://www.youtube.com/watch?v=084rmucWHdg,084rmucWHdg,nan
Vasudha,ZEE TV USA ZEE TV USA Verified,162K views,1 day ago,https://www.youtube.com/watch?v=7ww-HXKr6b8,7ww-HXKr6b8,nan
1 V 2 Minecraft Death Swap REMATCH {Smarty VS FalanaG & DreamBoy},YesSmartyPie YesSmartyPie Verified,733K views,3 days ago,https://www.youtube.com/watch?v=F2ZkrmGCIaE,F2ZkrmGCIaE,nan
Meeting THE VIRAT KOHLI ! *BTS OF SHOOT*,8bit Thug 8bit Thug Verified,126K views,1 day ago,https://www.youtube.com/watch?v=fHhNYwNBfus,fHhNYwNBfus,nan
India’s unforgettable moments at Met Gala 2025,Indiatimes Indiatimes Verified,307K views,1 day ago,https://www.youtube.com/watch?v=-dhC57wu-OM,-dhC57wu-OM,nan
Taarak Mehta Ka Ooltah Chashmah | तारक मेहता | Ep 4390 | Coming Up Next,Sony SAB Sony SAB Verified,1M views,2 days ago,https://www.youtube.com/watch?v=9Kh7IOgsMAQ,9Kh7IOgsMAQ,nan
किसके धमकी भरे Call से उड़ गए Jethalal के होश? | Taarak Mehta Ka Ooltah Chashmah | Funny Hits,Sony PAL Sony PAL Verified,236K views,3 days ago,https://www.youtube.com/watch?v=f2-mCmcqjmU,f2-mCmcqjmU,nan
🔥RRB NTPC EXAM DATE 2025 | NTPC EXAM DATE 2025 | RRB NTPC 2025 FORM REOPEN | RAILWAY NTPC EXAM DATE,MD Classes MD Classes Verified,116K views,Streamed 2 days ago,https://www.youtube.com/watch?v=E4-4DZoVOeQ,E4-4DZoVOeQ,nan
Power Star Pawan Singh - Ghaghari Official Bhojpuri Song 2025 Ft. Shweta Sharma | T-Series,T-Series Hamaar Bhojpuri T-Series Hamaar Bhojpuri Verified,20M views,2 weeks ago,https://www.youtube.com/watch?v=QeR2Sk8Esgk,QeR2Sk8Esgk,nan
"महिमा चौधरी सनी देओल के साथ शादी करने के लिए राजी हो गई | Sunny Deol, Mahima | Pyaar Koi Khel Nahin",Venus Movies Venus Movies Verified,2.9M views,7 days ago,https://www.youtube.com/watch?v=gN-bqBkKzXs,gN-bqBkKzXs,nan
22 Boyfriends | Crowd Work | Stand Up Comedy | Ft @Harshgujral,Harsh gujral Harsh gujral Verified,3.8M views,7 days ago,https://www.youtube.com/watch?v=MwsHgn_jdIY,MwsHgn_jdIY,nan
Indian Schools & Board Exams Ft Coaching,NOT YOUR TYPE NOT YOUR TYPE Verified,8.1M views,11 days ago,https://www.youtube.com/watch?v=uIxOL9fKfEk,uIxOL9fKfEk,nan
#Video | बदनाम सलाई बा |#Neelkamal Singh Sad Song | Badnaam Salai Ba| नीलकमल सिंह| Bhojpuri Sad Song,T-Series Hamaar Bhojpuri T-Series Hamaar Bhojpuri Verified,8.4M views,6 days ago,https://www.youtube.com/watch?v=j5sVk0ayAdM,j5sVk0ayAdM,nan
"Phulera Ka Panchayati Raj | Alhua Vikas ft. Neena Gupta, Faisal Malik, Chandan Roy, Durgesh Kumar",The Viral Fever The Viral Fever Verified,6.7M views,13 days ago,https://www.youtube.com/watch?v=KRW8Nu9Wivs,KRW8Nu9Wivs,nan
Every Foodie Ever | Ft. Tena Jaiin | The Paayal Jain,The Paayal Jain The Paayal Jain Verified,1.7M views,7 days ago,https://www.youtube.com/watch?v=TBFWUqf1gKY,TBFWUqf1gKY,nan
Scariest Night of my Parent's LIVES,Wanderers Hub Wanderers Hub Verified,3.8M views,8 days ago,https://www.youtube.com/watch?v=V9HPoG6VhAQ,V9HPoG6VhAQ,nan
Complete Class 12th PHYSICS Paper Decoding by MR Sir - NEET 2025 || PhysicsWallah,Physics Wallah - Alakh Pandey Physics Wallah - Alakh Pandey Verified,3.5M views,Streamed 8 days ago,https://www.youtube.com/watch?v=f8_iA_WMHbQ,f8_iA_WMHbQ,nan
DIGGING A HOLE IN MY BACKYARD,Techno Gamerz Techno Gamerz Official Artist Channel,5.8M views,9 days ago,https://www.youtube.com/watch?v=te8TnCQhQBQ,te8TnCQhQBQ,nan
Drunk Prank On Armaan,Malik Vlogs Malik Vlogs Verified,2M views,7 days ago,https://www.youtube.com/watch?v=VwRH9LmAf38,VwRH9LmAf38,nan
Badshah - Galiyon ke Ghalib | Simona J. (Official Music Video),Badshah Badshah Official Artist Channel,39M views,7 days ago,https://www.youtube.com/watch?v=AOWrGJcNdoE,AOWrGJcNdoE,nan
India's KOREAN Craze is Out Of Control,Slayy Point Slayy Point Verified,6.7M views,12 days ago,https://www.youtube.com/watch?v=G6NVxIKyMEQ,G6NVxIKyMEQ,nan
Shinchan Zombie Train Escape! 😱,Tyro Gaming Tyro Gaming Verified,1M views,6 days ago,https://www.youtube.com/watch?v=kozvet0RDeo,kozvet0RDeo,nan
Guru Randhawa - QATAL - (Official Video),Guru Randhawa Guru Randhawa Official Artist Channel,22M views,2 weeks ago,https://www.youtube.com/watch?v=c-FKlE3_kHo,c-FKlE3_kHo,nan
Teacher You Tube Live Session,NIPUN Bharat | Uttar Pradesh NIPUN Bharat | Uttar Pradesh,261K views,Streamed 5 days ago,https://www.youtube.com/watch?v=6bMVSkMTEms,6bMVSkMTEms,nan
Find the Invisible Man Challenge!,Mythpat Mythpat Verified,1.4M views,5 days ago,https://www.youtube.com/watch?v=wmY4FDPBwSU,wmY4FDPBwSU,nan
Aayush Sharma Aur Arpita Khan Ka Lavish Ghar Aur Himachali Mutton Recipe! @FarahKhanK,Farah Khan Farah Khan Verified,6M views,12 days ago,https://www.youtube.com/watch?v=0y0QBipTWF0,0y0QBipTWF0,nan
"Chor Bazari Phir Se | Bhool Chuk Maaf | Rajkummar, Wamiqa | Pritam, Tanishk, Irshad, Neeraj, Sunidhi",Sony Music India Sony Music India Verified,25M views,13 days ago,https://www.youtube.com/watch?v=w_EQg4TO1Nc,w_EQg4TO1Nc,nan
A day with UPSC Aspirants | Satish Ray in Mukherji Nagar @unacademy,Satish Ray Satish Ray Verified,564K views,3 days ago,https://www.youtube.com/watch?v=UgOpfIHjCFA,UgOpfIHjCFA,nan
GT vs RR : Vaibhav Suryavanshi's record-breaking ton helps RR crush GT by 8 wickets.,NewsBook NewsBook Verified,2.2M views,8 days ago,https://www.youtube.com/watch?v=eywk9cgOU4g,eywk9cgOU4g,nan
SHAADI - BARBAADI || HUSBAND vs WIFE || Rachit Rojha,Rachit Rojha Rachit Rojha Verified,462K views,4 days ago,https://www.youtube.com/watch?v=BALw780d51w,BALw780d51w,nan
